1,Ford,Edge,199,26378
2,GMC,Savana 2500,126,81051
3,Dodge,Avenger,124,20181
4,Saturn,VUE,232,60466
5,Cadillac,Seville,168,99272
6,Land Rover,Discovery,146,16308
7,Chrysler,Imperial,113,24292
8,Lexus,GX,67,47834
9,Audi,90,125,02999
10,Kia,Spectra,124,46361
11,Mercedes-Benz,Sprinter 3500,141,09429
12,Pontiac,Daewoo Kalos,208,48996
13,Dodge,Journey,119,63656
14,Ford,Escort,60,01247
15,Buick,Century,86,02533
16,Mazda,Protege,234,24989
17,Infiniti,QX,200,11066
18,Lexus,LS,189,71052
19,Pontiac,Grand Prix,121,07573
20,Ford,F250,99,45161
21,Ford,Focus,164,41256
22,Mercedes-Benz,E-Class,183,43782
23,Audi,A6,193,09569
24,Nissan,Sentra,231,63681
25,Chevrolet,Suburban 2500,237,36056
26,Chevrolet,Volt,81,21074
27,Lincoln,MKX,157,40920
28,Audi,5000S,145,64023
29,Nissan,Stanza,172,54746
30,GMC,Envoy,174,05447
31,Ford,LTD,78,29878
32,Volkswagen,Passat,227,25826
33,Dodge,Sprinter,176,27256
34,Daewoo,Nubira,230,17340
35,Chevrolet,Monte Carlo,191,65960
36,Infiniti,FX,149,93681
37,MINI,Cooper,186,16635
38,Nissan,Altima,74,95285
39,Ford,F450,117,83909
40,Toyota,RAV4,134,44540
41,Ford,Econoline E150,227,98544
42,Infiniti,J,179,23549
43,Ford,E-Series,233,82178
44,Mazda,Miata MX-5,212,88574
45,Mercedes-Benz,CLK-Class,72,74229
46,Maserati,Spyder,226,21330
47,Ford,Mustang,119,24179
48,Subaru,SVX,166,03397
49,Chevrolet,Corvette,108,02764
50,Ford,EXP,221,76191
51,Chevrolet,Venture,175,06830
52,Subaru,XT,159,89969
53,Chevrolet,Silverado,127,24978
54,Toyota,Land Cruiser,148,35459
55,Mitsubishi,Tredia,174,44404
56,Hummer,H1,149,00064
57,Dodge,Ram Van 1500,81,88974
58,Buick,Electra,219,79990
59,Kia,Spectra,152,30440
60,Mazda,929,100,00580
61,Chevrolet,Caprice,158,10479
62,Nissan,350Z,143,53328
63,Kia,Forte,231,00141
64,Toyota,Supra,92,48470
65,Mazda,CX-9,224,45875
66,Hummer,H3,91,73633
67,Subaru,Impreza,140,85548
68,Audi,riolet,142,03993
69,Mazda,B-Series,174,63121
70,Audi,V8,97,90691
71,Hyundai,Tiburon,195,93302
72,Land Rover,Range Rover,157,24792
73,Subaru,Impreza,93,54335
74,GMC,Safari,68,32591
75,Volkswagen,Cabriolet,152,68560
76,Mercedes-Benz,CL-Class,226,35197
77,Rolls-Royce,Phantom,188,04672
78,Ford,Escort,68,71494
79,Ford,Courier,127,41069
80,Toyota,FJ Cruiser,182,18985
81,Dodge,Stratus,86,23594
82,Chevrolet,Astro,128,16567
83,Volkswagen,Tiguan,138,78086
84,Toyota,Sienna,98,70560
85,Mitsubishi,Pajero,130,83078
86,Infiniti,M,210,44356
87,Acura,NSX,208,11741
88,Chevrolet,LUV,100,23504
89,Toyota,Highlander,159,59448
90,Studebaker,Avanti,205,71803
91,Mazda,Millenia,82,49081
92,Chevrolet,Equinox,96,87702
93,GMC,Rally Wagon 2500,233,51432
94,Toyota,Sienna,88,23602
95,Acura,Integra,64,35067
96,BMW,5 Series,80,75287
97,Chevrolet,Equinox,118,03177
98,GMC,Sonoma,145,64654
99,Scion,xD,63,76708
100,Chevrolet,Suburban,152,10311
